Date,SPY,Composite,Threshold
2014-01-02,148.19845581054688,0.0,5
2014-01-03,148.1741485595703,0.0,5
2014-01-06,147.7447967529297,0.0,5
2014-01-07,148.6521759033203,0.0,5
2014-01-08,148.68460083007812,0.0,5
2014-01-09,148.78182983398438,0.0,5
2014-01-10,149.18690490722656,0.0,5
2014-01-13,147.2019500732422,0.0,5
2014-01-14,148.8060760498047,0.0,5
2014-01-15,149.6082305908203,0.0,5
2014-01-16,149.41371154785156,0.0,5
2014-01-17,148.78182983398438,0.0,5
2014-01-21,149.21932983398438,0.0,5
2014-01-22,149.3165740966797,0.0,5
2014-01-23,148.09310913085938,0.0,5
2014-01-24,144.93344116210938,0.0,5
2014-01-27,144.22047424316406,0.0,5
2014-01-28,145.07928466796875,0.0,5
2014-01-29,143.68577575683594,0.0,5
2014-01-30,145.20892333984375,0.0,5
2014-01-31,144.35821533203125,0.0,5
2014-02-03,141.10939025878906,0.0,5
2014-02-04,142.0977783203125,0.0,5
2014-02-05,141.9195556640625,0.0,5
2014-02-06,143.79110717773438,0.0,5
2014-02-07,145.57350158691406,0.0,5
2014-02-10,145.84085083007812,0.0,5
2014-02-11,147.43692016601562,1.0,5
2014-02-12,147.5098419189453,0.0,5
2014-02-13,148.27134704589844,0.0,5
2014-02-14,149.08966064453125,0.0,5
2014-02-18,149.26791381835938,1.0,5
2014-02-19,148.27951049804688,0.0,5
2014-02-20,149.15452575683594,0.0,5
2014-02-21,148.98428344726562,1.0,5
2014-02-24,149.8107452392578,1.0,5
2014-02-25,149.75401306152344,1.0,5
2014-02-26,149.7621307373047,1.0,5
2014-02-27,150.54795837402344,1.0,5
2014-02-28,150.9287872314453,1.0,5
2014-03-03,149.8674774169922,1.0,5
2014-03-04,151.9739227294922,1.0,5
2014-03-05,152.11163330078125,1.0,5
2014-03-06,152.4600372314453,1.0,5
2014-03-07,152.52484130859375,1.0,5
2014-03-10,152.4438018798828,1.0,5
2014-03-11,151.6903839111328,1.0,5
2014-03-12,151.7308807373047,1.0,5
2014-03-13,150.02944946289062,1.0,5
2014-03-14,149.6082305908203,3.0,5
2014-03-17,150.96121215820312,4.0,5
2014-03-18,152.03878784179688,6.0,5
2014-03-19,151.22854614257812,5.0,5
2014-03-20,152.11163330078125,6.0,5
2014-03-21,151.52166748046875,6.0,5
2014-03-24,150.89512634277344,5.0,5
2014-03-25,151.61117553710938,4.0,5
2014-03-26,150.5207061767578,4.0,5
2014-03-27,150.20338439941406,3.0,5
2014-03-28,150.94390869140625,4.0,5
2014-03-31,152.18080139160156,5.0,5
2014-04-01,153.18984985351562,6.0,5
2014-04-02,153.7025146484375,6.0,5
2014-04-03,153.49908447265625,5.0,5
2014-04-04,151.68441772460938,4.0,5
2014-04-07,150.00807189941406,2.0,5
2014-04-08,150.6265411376953,3.0,5
2014-04-09,152.2458953857422,3.0,5
2014-04-10,149.04783630371094,0.0,5
2014-04-11,147.7051544189453,0.0,5
2014-04-14,148.86883544921875,0.0,5
2014-04-15,149.89413452148438,1.0,5
2014-04-16,151.4647674560547,4.0,5
2014-04-17,151.6763153076172,3.0,5
2014-04-21,152.20529174804688,4.0,5
2014-04-22,152.8968963623047,4.0,5
2014-04-23,152.5388946533203,4.0,5
2014-04-24,152.84811401367188,4.0,5
2014-04-25,151.59487915039062,4.0,5
2014-04-28,152.07504272460938,4.0,5
2014-04-29,152.78302001953125,4.0,5
2014-04-30,153.23867797851562,4.0,5
2014-05-01,153.25497436523438,3.0,5
2014-05-02,153.03524780273438,3.0,5
2014-05-05,153.32821655273438,4.0,5
2014-05-06,151.99365234375,4.0,5
2014-05-07,152.88882446289062,4.0,5
2014-05-08,152.72601318359375,4.0,5
2014-05-09,152.9539031982422,4.0,5
2014-05-12,154.44302368164062,4.0,5
2014-05-13,154.5814666748047,4.0,5
2014-05-14,153.84896850585938,4.0,5
2014-05-15,152.4981689453125,4.0,5
2014-05-16,153.02720642089844,4.0,5
2014-05-19,153.58865356445312,4.0,5
2014-05-20,152.6202392578125,3.0,5
2014-05-21,153.906005859375,4.0,5
2014-05-22,154.28030395507812,4.0,5
2014-05-23,154.89878845214844,5.0,5
2014-05-27,155.8508758544922,5.0,5
2014-05-28,155.73699951171875,5.0,5
2014-05-29,156.5425262451172,5.0,5
2014-05-30,156.7947998046875,5.0,5
2014-06-02,156.9738006591797,5.0,5
2014-06-03,156.89242553710938,6.0,5
2014-06-04,157.20980834960938,6.0,5
2014-06-05,158.23521423339844,6.0,5
2014-06-06,158.9919891357422,6.0,5
2014-06-09,159.15476989746094,7.0,5
2014-06-10,159.1709747314453,6.0,5
2014-06-11,158.61761474609375,6.0,5
2014-06-12,157.49461364746094,7.0,5
2014-06-13,157.9747772216797,7.0,5
2014-06-16,158.10494995117188,7.0,5
2014-06-17,158.54441833496094,7.0,5
2014-06-18,159.70802307128906,7.0,5
2014-06-19,159.8870849609375,6.0,5
2014-06-20,160.21173095703125,6.0,5
2014-06-23,160.1626739501953,6.0,5
2014-06-24,159.19775390625,6.0,5
2014-06-25,159.9173583984375,6.0,5
2014-06-26,159.8029327392578,6.0,5
2014-06-27,160.11358642578125,6.0,5
2014-06-30,160.03189086914062,6.0,5
2014-07-01,161.1029510498047,6.0,5
2014-07-02,161.26651000976562,6.0,5
2014-07-03,162.0595703125,7.0,5
2014-07-07,161.49545288085938,7.0,5
2014-07-08,160.45706176757812,6.0,5
2014-07-09,161.17652893066406,6.0,5
2014-07-10,160.5387725830078,4.0,5
2014-07-11,160.7595977783203,4.0,5
2014-07-14,161.56898498535156,5.0,5
2014-07-15,161.26651000976562,4.0,5
2014-07-16,161.86341857910156,5.0,5
2014-07-17,160.02365112304688,4.0,5
2014-07-18,161.65896606445312,4.0,5
2014-07-21,161.3564453125,4.0,5
2014-07-22,162.0595703125,4.0,5
2014-07-23,162.4193572998047,5.0,5
2014-07-24,162.42747497558594,5.0,5
2014-07-25,161.66714477539062,4.0,5
2014-07-28,161.7326202392578,4.0,5
2014-07-29,161.0375213623047,4.0,5
2014-07-30,161.06202697753906,3.0,5
2014-07-31,157.88140869140625,3.0,5
2014-08-01,157.39898681640625,3.0,5
2014-08-04,158.5355224609375,3.0,5
2014-08-05,156.998291015625,3.0,5
2014-08-06,157.04734802246094,2.0,5
2014-08-07,156.1969757080078,2.0,5
2014-08-08,158.00404357910156,2.0,5
2014-08-11,158.4619140625,2.0,5
2014-08-12,158.24111938476562,2.0,5
2014-08-13,159.312255859375,2.0,5
2014-08-14,160.0645294189453,5.0,5
2014-08-15,160.03189086914062,3.0,5
2014-08-18,161.3727569580078,6.0,5
2014-08-19,162.2150115966797,6.0,5
2014-08-20,162.64830017089844,7.0,5
2014-08-21,163.1226043701172,6.0,5
2014-08-22,162.8690948486328,6.0,5
2014-08-25,163.6949462890625,6.0,5
2014-08-26,163.8011932373047,6.0,5
2014-08-27,163.73583984375,6.0,5
2014-08-28,163.6458740234375,6.0,5
2014-08-29,164.11184692382812,6.0,5
2014-09-02,164.03018188476562,6.0,5
2014-09-03,163.9402313232422,6.0,5
2014-09-04,163.703125,6.0,5
2014-09-05,164.4390411376953,6.0,5
2014-09-08,164.0137939453125,6.0,5
2014-09-09,162.9754180908203,5.0,5
2014-09-10,163.58868408203125,5.0,5
2014-09-11,163.77667236328125,7.0,5
2014-09-12,162.82005310058594,6.0,5
2014-09-15,162.69740295410156,6.0,5
2014-09-16,163.92384338378906,7.0,5
2014-09-17,164.1446075439453,7.0,5
2014-09-18,165.01951599121094,7.0,5
2014-09-19,164.870849609375,7.0,5
2014-09-22,163.59754943847656,5.0,5
2014-09-23,162.66104125976562,3.0,5
2014-09-24,163.93434143066406,5.0,5
